"B19013_001E","B19013_001M","GEO_ID","NAME"
"Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","id","Geographic Area Name"
"32744","6393","1400000US08001007801","Census Tract 78.01, Adams County, Colorado"
"30598","8340","1400000US08001007802","Census Tract 78.02, Adams County, Colorado"
"41738","4029","1400000US08001007900","Census Tract 79, Adams County, Colorado"
"50483","6774","1400000US08001008000","Census Tract 80, Adams County, Colorado"
"46875","5426","1400000US08001008100","Census Tract 81, Adams County, Colorado"
"62689","7742","1400000US08001008200","Census Tract 82, Adams County, Colorado"
"41619","6682","1400000US08001008308","Census Tract 83.08, Adams County, Colorado"
"55024","3505","1400000US08001008309","Census Tract 83.09, Adams County, Colorado"
"68697","10126","1400000US08001008353","Census Tract 83.53, Adams County, Colorado"
"70871","12433","1400000US08001008401","Census Tract 84.01, Adams County, Colorado"
"83243","3266","1400000US08001008402","Census Tract 84.02, Adams County, Colorado"
"69758","8615","1400000US08001008505","Census Tract 85.05, Adams County, Colorado"
"42010","6361","1400000US08001008506","Census Tract 85.06, Adams County, Colorado"
"81630","10544","1400000US08001008507","Census Tract 85.07, Adams County, Colorado"
"80117","6868","1400000US08001008508","Census Tract 85.08, Adams County, Colorado"
"100328","9585","1400000US08001008523","Census Tract 85.23, Adams County, Colorado"
"103340","7993","1400000US08001008524","Census Tract 85.24, Adams County, Colorado"
"88182","20756","1400000US08001008526","Census Tract 85.26, Adams County, Colorado"
"65375","5851","1400000US08001008529","Census Tract 85.29, Adams County, Colorado"
"73633","7211","1400000US08001008533","Census Tract 85.33, Adams County, Colorado"
"95572","6359","1400000US08001008534","Census Tract 85.34, Adams County, Colorado"
"83088","16588","1400000US08001008535","Census Tract 85.35, Adams County, Colorado"
"115000","10438","1400000US08001008536","Census Tract 85.36, Adams County, Colorado"
"90398","7645","1400000US08001008537","Census Tract 85.37, Adams County, Colorado"
"108472","8183","1400000US08001008538","Census Tract 85.38, Adams County, Colorado"
"91351","7404","1400000US08001008539","Census Tract 85.39, Adams County, Colorado"
"109549","5271","1400000US08001008540","Census Tract 85.40, Adams County, Colorado"
"128295","17282","1400000US08001008541","Census Tract 85.41, Adams County, Colorado"
"97245","6729","1400000US08001008542","Census Tract 85.42, Adams County, Colorado"
"78482","13465","1400000US08001008543","Census Tract 85.43, Adams County, Colorado"
"123382","16206","1400000US08001008544","Census Tract 85.44, Adams County, Colorado"
"113500","11417","1400000US08001008545","Census Tract 85.45, Adams County, Colorado"
"79485","7249","1400000US08001008546","Census Tract 85.46, Adams County, Colorado"
"81488","4239","1400000US08001008547","Census Tract 85.47, Adams County, Colorado"
"93750","28552","1400000US08001008548","Census Tract 85.48, Adams County, Colorado"
"95275","6248","1400000US08001008549","Census Tract 85.49, Adams County, Colorado"
"90275","5930","1400000US08001008550","Census Tract 85.50, Adams County, Colorado"
"134167","20112","1400000US08001008551","Census Tract 85.51, Adams County, Colorado"
"37688","4562","1400000US08001008603","Census Tract 86.03, Adams County, Colorado"
"66719","11139","1400000US08001008604","Census Tract 86.04, Adams County, Colorado"
"66474","12763","1400000US08001008605","Census Tract 86.05, Adams County, Colorado"
"53246","12024","1400000US08001008606","Census Tract 86.06, Adams County, Colorado"
"46139","9754","1400000US08001008705","Census Tract 87.05, Adams County, Colorado"
"52805","9206","1400000US08001008706","Census Tract 87.06, Adams County, Colorado"
"41538","1843","1400000US08001008709","Census Tract 87.09, Adams County, Colorado"
"44222","8282","1400000US08001008801","Census Tract 88.01, Adams County, Colorado"
"47069","11050","1400000US08001008802","Census Tract 88.02, Adams County, Colorado"
"49079","5140","1400000US08001008901","Census Tract 89.01, Adams County, Colorado"
"48993","7498","1400000US08001009001","Census Tract 90.01, Adams County, Colorado"
"54667","8408","1400000US08001009002","Census Tract 90.02, Adams County, Colorado"
"64479","11064","1400000US08001009101","Census Tract 91.01, Adams County, Colorado"
"49044","8278","1400000US08001009103","Census Tract 91.03, Adams County, Colorado"
"63750","8113","1400000US08001009104","Census Tract 91.04, Adams County, Colorado"
"59250","10717","1400000US08001009202","Census Tract 92.02, Adams County, Colorado"
"41761","4170","1400000US08001009203","Census Tract 92.03, Adams County, Colorado"
"71204","10626","1400000US08001009204","Census Tract 92.04, Adams County, Colorado"
"71250","10210","1400000US08001009206","Census Tract 92.06, Adams County, Colorado"
"65879","4422","1400000US08001009207","Census Tract 92.07, Adams County, Colorado"
"55152","10187","1400000US08001009304","Census Tract 93.04, Adams County, Colorado"
"60455","12210","1400000US08001009306","Census Tract 93.06, Adams County, Colorado"
"60264","8861","1400000US08001009307","Census Tract 93.07, Adams County, Colorado"
"61488","8570","1400000US08001009308","Census Tract 93.08, Adams County, Colorado"
"50792","7677","1400000US08001009309","Census Tract 93.09, Adams County, Colorado"
"54187","4105","1400000US08001009310","Census Tract 93.10, Adams County, Colorado"
"46432","4378","1400000US08001009316","Census Tract 93.16, Adams County, Colorado"
"37952","7970","1400000US08001009318","Census Tract 93.18, Adams County, Colorado"
"38433","3248","1400000US08001009319","Census Tract 93.19, Adams County, Colorado"
"42004","5090","1400000US08001009320","Census Tract 93.20, Adams County, Colorado"
"48772","8951","1400000US08001009321","Census Tract 93.21, Adams County, Colorado"
"50230","3998","1400000US08001009322","Census Tract 93.22, Adams County, Colorado"
"56250","7647","1400000US08001009323","Census Tract 93.23, Adams County, Colorado"
"75020","11556","1400000US08001009325","Census Tract 93.25, Adams County, Colorado"
"77969","7276","1400000US08001009326","Census Tract 93.26, Adams County, Colorado"
"75893","12013","1400000US08001009327","Census Tract 93.27, Adams County, Colorado"
"62046","2593","1400000US08001009401","Census Tract 94.01, Adams County, Colorado"
"66458","8093","1400000US08001009406","Census Tract 94.06, Adams County, Colorado"
"63004","11950","1400000US08001009407","Census Tract 94.07, Adams County, Colorado"
"102500","6557","1400000US08001009408","Census Tract 94.08, Adams County, Colorado"
"109363","13964","1400000US08001009409","Census Tract 94.09, Adams County, Colorado"
"118472","13324","1400000US08001009410","Census Tract 94.10, Adams County, Colorado"
"83798","10783","1400000US08001009411","Census Tract 94.11, Adams County, Colorado"
"50887","13121","1400000US08001009501","Census Tract 95.01, Adams County, Colorado"
"71337","16523","1400000US08001009502","Census Tract 95.02, Adams County, Colorado"
